frame,timeMs,energy
61,2541.667,6.779156749404964e-05
62,2583.333,6.658732857304772e-05
63,2625.0,3.7543919301824777e-06
64,2666.667,0.00034745834750085007
65,2708.333,8.210075937889607e-05
66,2750.0,0.00016143885299784653
67,2791.667,1.6717669726850278e-05
68,2833.333,2.0401224073444407e-05
69,2875.0,0.00036290094072311007
70,2916.667,4.250255015300918e-06
71,2958.333,5.844100646038762e-05
72,3000.0,8.387169896860478e-05
73,3041.667,7.2537685594469e-05
74,3083.333,4.986965884619744e-05
75,3125.0,2.5643205258982206e-05
76,3166.667,3.896067097359175e-05
77,3208.333,0.00012339907061090333
78,3250.0,4.179417431712569e-06
79,3291.667,0.0003653094185651139
80,3333.333,0.0001498923268729457
81,3375.0,2.7626657599455967e-05
82,3416.667,2.2101326079564775e-05
83,3458.333,4.15108239827723e-05
84,3500.0,2.7272469681514224e-05
85,3541.667,2.7272469681514224e-05
86,3583.333,7.0129207752465144e-06
87,3625.0,7.083758358834863e-06
88,3666.667,2.125127507650459e-06
89,3708.333,4.4627677660659636e-06
90,3750.0,0.003198175223846764
91,3791.667,0.0004923920435226113
92,3833.333,3.541879179417432e-05
93,3875.0,5.596169103479542e-06
94,3916.667,0.00046611130001133404
95,3958.333,0.00017078941403150856
96,4000.0,6.920831916581661e-05
97,4041.667,6.729570440893121e-05
98,4083.333,0.00014004590275416525
99,4125.0,0.00010391873512410745
100,4166.667,4.023574747818202e-05
101,4208.333,1.9834523404737617e-06
102,4250.0,2.4651479088745324e-05
103,4291.667,1.0696475121840644e-05
104,4333.333,5.454493936302845e-06
105,4375.0,1.7001020061203673e-06
106,4416.667,0.00018842797234500737
107,4458.333,1.6930182477615323e-05
108,4500.0,1.2042389210019269e-06
109,4541.667,1.4875892553553213e-06
110,4583.333,1.1334013374135781e-06
111,4625.0,1.55842683894367e-06
112,4666.667,0.00019728267029355096
113,4708.333,1.1334013374135781e-06
114,4750.0,1.912614756885413e-06
115,4791.667,9.704748951603762e-06
116,4833.333,2.550153009180551e-05
117,4875.0,3.1876912614756886e-06
118,4916.667,4.3210925988892665e-06
119,4958.333,3.3293664286523856e-06
120,5000.0,2.337640258415505e-06
121,5041.667,1.7001020061203673e-06
122,5083.333,2.535985492462881e-05
123,5125.0,0.003532741131134535
124,5166.667,0.0015594185651139068
125,5208.333,0.012894352827836337
126,5250.0,0.01391129717783067
127,5291.667,0.00811472855037969
128,5333.333,0.004602530318485776
129,5375.0,0.001907514450867052
130,5416.667,3.6835543465941288e-06
131,5458.333,0.002347203332199932
132,5500.0,0.0037061515357588123
133,5541.667,0.004698090218746458
134,5583.333,0.004770557066757339
135,5625.0,0.00804006573727757
136,5666.667,1.0979825456194039e-05
137,5708.333,0.010177306471721636
138,5750.0,0.009802859004873626
139,5791.667,0.012048056216706335
140,5833.333,0.011307874305791681
141,5875.0,0.00972890456760739
142,5916.667,0.012874305791680835
143,5958.333,0.010639238354301257
144,6000.0,7.650459027541653e-06
145,6041.667,0.009213844497336508
146,6083.333,0.009286878046016094
147,6125.0,0.009383642185197778
148,6166.667,0.009214340360421625
149,6208.333,0.009691006460387622
150,6250.0,0.010557562620423892
151,6291.667,0.009891476821942649
152,6333.333,0.010164839057010088
153,6375.0,0.010044627677660659
154,6416.667,0.010421341947183497
155,6458.333,0.011122704862291737
156,6500.0,0.012265669273489743
157,6541.667,0.010186019494503004
158,6583.333,0.01703155105973025
159,6625.0,4.214836223506744e-05
160,6666.667,0.011755922021987986
161,6708.333,0.010015584268389437
162,6750.0,0.009322226000226681
163,6791.667,0.010289654879292757
164,6833.333,0.011420081038195626
165,6875.0,0.008481313045449393
166,6916.667,0.008417630057803467
167,6958.333,0.008718973138388304
168,7000.0,0.010713688654652612
169,7041.667,0.010100164343193925
170,7083.333,0.010837371075597868
171,7125.0,0.012127606823076051
172,7166.667,0.01248498243227927
173,7208.333,0.012588901167403377
174,7250.0,0.012031338546979485
175,7291.667,0.01027407061090332
176,7333.333,0.015424600476028562
177,7375.0,9.775586535192111e-06
178,7416.667,0.011846735804148249
179,7458.333,0.011438002946843478
180,7500.0,0.013382211266009294
181,7541.667,0.012039980732177264
182,7583.333,0.011961351014394196
183,7625.0,0.014607630624504138
184,7666.667,4.746118100419359e-06
185,7708.333,0.012257664626544259
